9 Reentrant message: kDragIPCCompleted, current message: kDragIPCLeaveApplication
Unable to obtain a task name port right for pid 480: (os/kern) failure (0x5)
[ContinuousScroll] recalculateLayout: empty imageSizes
[ContinuousScroll] updateVisibleSlots: visibleRect=(-2.210268948655257, -78.4645476772752, 1281.955990220049, 1856.6259168705767), centerY=849.8484107580132, newIndex=0, lastNotified=-1
[ContinuousScroll] updateVisibleSlots: visibleRect=(-2.210268948655257, -78.4645476772752, 1281.955990220049, 1856.6259168705767), centerY=849.8484107580132, newIndex=0, lastNotified=0
[ContinuousScroll] configure: folder.images.count=321, containerWidth=580.0
[ContinuousScroll] preloaded 321 image sizes
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 562.513447432957, 1281.9559902200488, 1856.6259168710435), centerY=1490.8264058684788, newIndex=319, lastNotified=319
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 597.8777506111647, 1281.9559902200488, 1856.6259168701104), centerY=1526.19070904622, newIndex=319, lastNotified=319
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 632.1369193156272, 1281.9559902200488, 1856.6259168710437), centerY=1560.449877751149, newIndex=319, lastNotified=319
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 664.1858190708166, 1281.9559902200488, 1856.6259168701104), centerY=1592.4987775058717, newIndex=319, lastNotified=319
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 694.0244498776526, 1281.9559902200488, 1856.6259168701106), centerY=1622.3374083127078, newIndex=319, lastNotified=319
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 721.6528117358343, 1281.9559902200488, 1856.6259168701104), centerY=1649.9657701708895, newIndex=318, lastNotified=319
[ContinuousScroll] handleImageChanged: index=318, scaledSize=(580.0, 819.25)
[ContinuousScroll] handleImageChanged: targetSize=(580.0, 841.25), viewportWidth=580.0
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 747.070904645361, 1281.9559902200488, 1856.6259168701106), centerY=1675.3838630804162, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 771.3838630805608, 1281.9559902200488, 1856.6259168701104), centerY=1699.696821515616, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 794.5916870414331, 1281.9559902200488, 1856.6259168701108), centerY=1722.9046454764884, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 815.5892420536511, 1281.9559902200488, 1856.6259168701104), centerY=1743.9022004887063, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 835.4816625919615, 1281.9559902200488, 1856.625916871043), centerY=1763.7946210274831, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 853.1638141807869, 1281.9559902200488, 1856.6259168701106), centerY=1781.476772615842, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 869.7408312961326, 1281.9559902200488, 1856.6259168710435), centerY=1798.0537897316544, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 885.2127139362852, 1281.9559902200488, 1856.6259168701108), centerY=1813.5256723713405, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 899.5794621025395, 1281.9559902200488, 1856.6259168701106), centerY=1827.8924205375947, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 912.841075794467, 1281.9559902200488, 1856.6259168701104), centerY=1841.154034229522, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 924.9975550120664, 1281.9559902200488, 1856.6259168701106), centerY=1853.3105134471216, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 936.0488997553389, 1281.9559902200488, 1856.6259168701104), centerY=1864.361858190394, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 945.9951100242844, 1281.9559902200488, 1856.6259168701108), centerY=1874.3080684593397, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 954.8361858193817, 1281.9559902200488, 1856.6259168710435), centerY=1883.1491442549036, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 963.6772616135245, 1281.9559902200488, 1856.6259168701104), centerY=1891.9902200485797, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 970.3080684594883, 1281.9559902200488, 1856.6259168701104), centerY=1898.6210268945433, newIndex=318, lastNotified=318
[ContinuousScroll] updateVisibleSlots: visibleRect=(-1.1051344743276288, 976.9388753054513, 1281.9559902200488, 1856.6259168701108), centerY=1905.2518337405068, newIndex=318, lastNotified=318
